	Sample	FileType	ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts	In_CARD
Tub.10-k141_549543_1-9..148	Tub.10	Probable	AAC(3)-I	9	148	k141_549543_1	aminoglycoside	AJ511268.1.gene3.p01|FEATURES|aac(3)-I|aminoglycoside|aac(3)-I	0.999992289	64.3	140	181	1.64e-59	1	NA
Tub.82-k141_193363_51-2..228	Tub.82	Potential	MTRA	2	228	k141_193363_51	aminoglycoside	undefined	0.591164137	75.8	227	348	3.95e-123	1	NA
Tub.82-k141_193363_51-2..228	Tub.82	Potential_loser	MTRA	2	228	k141_193363_51	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261294015	75.8	227	348	3.95e-123	1	NA
Tub.64-k141_204904_4-10..304	Tub.64	Probable	TLA-2	10	304	k141_204904_4	beta-lactam	CAG27800.1|FEATURES|TLA-2|beta-lactam|TLA-2	0.999999312	56.2	297	321	1.77e-110	1	NA
Tub.85-k141_166814_11-1..1043	Tub.85	Probable	BPEF	1	1043	k141_166814_11	multidrug	ZP_02465589|FEATURES|bpeF|multidrug|bpeF	0.999802252	72.2	1043	1441	0	1	fluoroquinolone antibiotic; tetracycline antibiotic
Tub.51-k141_197829_2-9..399	Tub.51	Probable	ROSA	9	399	k141_197829_2	fosmidomycin	YP_001477378|FEATURES|rosA|fosmidomycin|rosA	0.998885643	67.6	395	501	4.68e-178	1	NA
Tub.1-k141_1100_3-3..130	Tub.1	Potential	DFRA3	3	130	k141_1100_3	peptide	undefined	0.300650896	55	131	147	1.42e-45	1	NA
Tub.1-k141_1100_3-3..130	Tub.1	Potential_loser	DFRA3	3	130	k141_1100_3	aminoglycoside	undefined	0.18938683	55	131	147	1.42e-45	1	NA
Tub.83-k141_904443_2-9..250	Tub.83	Potential	FEZ-1	9	250	k141_904443_2	aminoglycoside	undefined	0.344966946	53.5	245	251	1.93e-84	1	NA
Tub.83-k141_904443_2-9..250	Tub.83	Potential_loser	FEZ-1	9	250	k141_904443_2	multidrug	undefined	0.182557952	53.5	245	251	1.93e-84	1	NA
Tub.88-k141_238253_34-8..282	Tub.88	Potential	SUL4	8	282	k141_238253_34	multidrug	undefined	0.273209729	51.6	275	269	6.84e-91	1	NA
Tub.88-k141_238253_34-8..282	Tub.88	Potential_loser	SUL4	8	282	k141_238253_34	peptide	undefined	0.213302542	51.6	275	269	6.84e-91	1	NA
Tub.88-k141_238253_43-7..224	Tub.88	Potential	MTRA	7	224	k141_238253_43	aminoglycoside	undefined	0.591164137	51.8	224	204	1.90e-66	1	NA
Tub.88-k141_238253_43-7..224	Tub.88	Potential_loser	MTRA	7	224	k141_238253_43	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261294015	51.8	224	204	1.90e-66	1	NA
Tub.10-k141_511929_2-2..137	Tub.10	Probable	ADP-RIBOSYLATING_TRANSFERASE_ARR	2	137	k141_511929_2	rifamycin	AF001493.1.orf0.gene.p01|FEATURES|ADP-ribosylating_transferase_arr|rifamycin|ADP-ribosylating_transferase_arr	0.999584079	72.8	136	213	3.54e-72	1	NA
Tub.82-k141_494140_97-5..314	Tub.82	Potential	OLEC	5	314	k141_494140_97	tetracycline	undefined	0.896640959	54.3	311	312	1.54e-106	1	NA
Tub.82-k141_494140_97-5..314	Tub.82	Potential_loser	OLEC	5	314	k141_494140_97	MLS	AAA26793|FEATURES|oleC|MLS|oleC	0.07027242	54.3	311	312	1.54e-106	1	NA
Tub.94-k141_325752_2-4..223	Tub.94	Probable	KDPE	4	223	k141_325752_2	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.988194436	56.8	222	246	3.51e-83	1	NA
Tub.85-k141_446916_8-1..1029	Tub.85	Potential	ACRF	1	1029	k141_446916_8	multidrug	CP000647.1.gene3710.p01|FEATURES|acrF|multidrug|acrF	0.748413197	51	1037	956	0	1	NA
Tub.85-k141_446916_8-1..1029	Tub.85	Potential_loser	ACRF	1	1029	k141_446916_8	aminoglycoside	undefined	0.067506473	51	1037	956	0	1	NA
Tub.82-k141_371346_1-9..260	Tub.82	Potential	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	9	260	k141_371346_1	aminoglycoside	YP_001476958|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.724394212	50.8	256	234	2.07e-77	1	NA
Tub.82-k141_371346_1-9..260	Tub.82	Potential_loser	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	9	260	k141_371346_1	multidrug	undefined	0.148007826	50.8	256	234	2.07e-77	1	NA
Tub.59-k141_69350_4-2..224	Tub.59	Probable	KDPE	2	224	k141_69350_4	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.973489574	52.2	226	231	5.39e-77	1	NA
Tub.59-k141_694692_2-1..127	Tub.59	Probable	GOLS	1	127	k141_694692_2	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.997709762	59.8	127	155	1.74e-49	1	NA
Tub.85-k141_563967_3-1..242	Tub.85	Potential	BACA	1	242	k141_563967_3	peptide	undefined	0.269921915	51.2	246	213	1.28e-69	1	NA
Tub.85-k141_563967_3-1..242	Tub.85	Potential_loser	BACA	1	242	k141_563967_3	multidrug	undefined	0.223691608	51.2	246	213	1.28e-69	1	NA
Tub.4-k141_973874_1-3..147	Tub.4	Probable	GOLS	3	147	k141_973874_1	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.997556668	52.4	145	144	1.88e-45	1	NA
Tub.58-k141_152090_23-2..126	Tub.58	Probable	GOLS	2	126	k141_152090_23	multidrug	NP_459349.1|FEATURES|golS|multidrug|golS	0.996620628	59.2	125	149	1.10e-47	1	NA
Tub.31-k141_547017_1-16..520	Tub.31	Potential	EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER	16	520	k141_547017_1	peptide	undefined	0.447015376	54.5	505	576	3.04e-204	1	NA
Tub.31-k141_547017_1-16..520	Tub.31	Potential_loser	EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER	16	520	k141_547017_1	tetracycline	undefined	0.131112918	54.5	505	576	3.04e-204	1	NA
Tub.4-k141_922991_2-3..118	Tub.4	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	118	k141_922991_2	aminoglycoside	undefined	0.303562335	50.4	117	114	6.56e-34	1	NA
Tub.4-k141_922991_2-3..118	Tub.4	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	118	k141_922991_2	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.295233897	50.4	117	114	6.56e-34	1	NA
Tub.94-k141_81548_2-12..210	Tub.94	Probable	CAMP-REGULATORY_PROTEIN	12	210	k141_81548_2	unclassified	gi:490367208:ref:WP_004246872.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.995420394	53.4	204	223	1.75e-74	1	NA
Tub.34-k141_90730_1-14..477	Tub.34	Potential	PUROMYCIN_RESISTANCE_PROTEIN	14	477	k141_90730_1	nucleoside	P42670|FEATURES|puromycin_resistance_protein|nucleoside|puromycin_resistance_protein	0.6686821	50.1	477	424	1.49e-144	1	NA
Tub.34-k141_90730_1-14..477	Tub.34	Potential_loser	PUROMYCIN_RESISTANCE_PROTEIN	14	477	k141_90730_1	multidrug	undefined	0.216556419	50.1	477	424	1.49e-144	1	NA
Tub.4-k141_686490_1-1..111	Tub.4	Potential	RBPA	1	111	k141_686490_1	peptide	undefined	0.253848804	50	112	100	7.26e-29	1	NA
Tub.4-k141_686490_1-1..111	Tub.4	Potential_loser	RBPA	1	111	k141_686490_1	multidrug	undefined	0.224301497	50	112	100	7.26e-29	1	NA
Tub.88-k141_200067_5-15..357	Tub.88	Probable	EMRA	15	357	k141_200067_5	multidrug	gi:695709491:ref:WP_032642979.1:|FEATURES|emrA|multidrug|emrA	0.994299835	51.3	343	320	1.28e-107	1	NA
Tub.13-k141_93421_2-11..262	Tub.13	Probable	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	11	262	k141_93421_2	aminoglycoside	Q57TH0|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.999992405	50	252	242	1.91e-80	1	NA
Tub.34-k141_299036_1-22..175	Tub.34	Probable	AAC(6')-I	22	175	k141_299036_1	aminoglycoside	AB164230.1.gene1.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.987490976	53	164	167	9.42e-54	1	NA
Tub.104-k141_598711_1-1..111	Tub.104	Potential	RBPA	1	111	k141_598711_1	peptide	undefined	0.252785424	50.4	113	108	4.97e-31	1	NA
Tub.104-k141_598711_1-1..111	Tub.104	Potential_loser	RBPA	1	111	k141_598711_1	multidrug	undefined	0.224003769	50.4	113	108	4.97e-31	1	NA
Tub.10-k141_484429_2-13..327	Tub.10	Probable	TETA(48)	13	327	k141_484429_2	tetracycline	APB03214.1|FEATURES|tetA(48)|tetracycline|tetA(48)	0.997013162	50.9	316	298	4.65e-100	1	NA
Tub.1-k141_245371_1-1..228	Tub.1	Potential	MTRA	1	228	k141_245371_1	aminoglycoside	undefined	0.591164137	70.2	228	330	8.59e-116	1	NA
Tub.1-k141_245371_1-1..228	Tub.1	Potential_loser	MTRA	1	228	k141_245371_1	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261294015	70.2	228	330	8.59e-116	1	NA
Tub.31-k141_500855_1-1..118	Tub.31	Probable	BRP(MBL)	1	118	k141_500855_1	glycopeptide	YP_007652797.1|FEATURES|BRP(MBL)|glycopeptide|BRP(MBL)	0.992331519	59.3	118	154	3.08e-50	1	NA
Tub.59-k141_98459_13-3..118	Tub.59	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	118	k141_98459_13	aminoglycoside	undefined	0.305344696	52.1	119	119	3.25e-34	1	NA
Tub.59-k141_98459_13-3..118	Tub.59	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	118	k141_98459_13	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.287251264	52.1	119	119	3.25e-34	1	NA
Tub.11-k141_62738_1-17..163	Tub.11	Potential	CAMP-REGULATORY_PROTEIN	17	163	k141_62738_1	unclassified	CP004022.1.gene2827.p01|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	0.416793087	54.4	147	179	1.08e-58	1	NA
Tub.11-k141_62738_1-17..163	Tub.11	Potential_loser	CAMP-REGULATORY_PROTEIN	17	163	k141_62738_1	aminoglycoside	undefined	0.178311629	54.4	147	179	1.08e-58	1	NA
Tub.31-k141_109702_5-31..292	Tub.31	Potential	AIM-1	31	292	k141_109702_5	peptide	undefined	0.262953378	53.4	262	270	1.18e-90	1	NA
Tub.31-k141_109702_5-31..292	Tub.31	Potential_loser	AIM-1	31	292	k141_109702_5	aminoglycoside	undefined	0.226078247	53.4	262	270	1.18e-90	1	NA
Tub.31-k141_132688_4-2..245	Tub.31	Probable	OMPR	2	245	k141_132688_4	multidrug	gi:909830386:gb:AKU13184.1:|FEATURES|ompR|multidrug|ompR	0.933656658	50.4	244	228	2.38e-75	1	NA
Tub.104-k141_453011_7-4..228	Tub.104	Potential	MTRA	4	228	k141_453011_7	aminoglycoside	undefined	0.568436801	78.2	225	351	7.38e-125	1	NA
Tub.104-k141_453011_7-4..228	Tub.104	Potential_loser	MTRA	4	228	k141_453011_7	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.26491494	78.2	225	351	7.38e-125	1	NA
Tub.18-k141_575006_3-5..89	Tub.18	Potential	BLEOMYCIN_RESISTANCE_PROTEIN	5	89	k141_575006_3	glycopeptide	gi:1043031651:ref:WP_065315223.1:|FEATURES|bleomycin_resistance_protein|glycopeptide|bleomycin_resistance_protein	0.604806893	51.1	88	91.7	1.46e-25	1	NA
Tub.18-k141_575006_3-5..89	Tub.18	Potential_loser	BLEOMYCIN_RESISTANCE_PROTEIN	5	89	k141_575006_3	peptide	undefined	0.237704489	51.1	88	91.7	1.46e-25	1	NA
Tub.51-k141_58169_1-6..509	Tub.51	Probable	EMRB	6	509	k141_58169_1	multidrug	gi:930176934:ref:WP_054177682.1:|FEATURES|emrB|multidrug|emrB	0.993437317	51.5	507	498	7.45e-174	1	NA
Tub.82-k141_276947_2-41..300	Tub.82	Potential	BACA	41	300	k141_276947_2	peptide	undefined	0.293745838	60.5	261	307	1.53e-105	1	NA
Tub.82-k141_276947_2-41..300	Tub.82	Potential_loser	BACA	41	300	k141_276947_2	multidrug	undefined	0.159100101	60.5	261	307	1.53e-105	1	NA
Tub.34-k141_224959_2-3..118	Tub.34	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	118	k141_224959_2	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.324323324	50.4	117	118	2.15e-34	1	NA
Tub.34-k141_224959_2-3..118	Tub.34	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	118	k141_224959_2	aminoglycoside	undefined	0.295456454	50.4	117	118	2.15e-34	1	NA
Tub.16-k141_663416_1-2..143	Tub.16	Probable	ADP-RIBOSYLATING_TRANSFERASE_ARR	2	143	k141_663416_1	rifamycin	AF001493.1.orf0.gene.p01|FEATURES|ADP-ribosylating_transferase_arr|rifamycin|ADP-ribosylating_transferase_arr	0.999557824	74.6	142	223	5.96e-77	1	NA
Tub.4-k141_725593_51-10..261	Tub.4	Probable	BACA	10	261	k141_725593_51	bacitracin	YP_316450|FEATURES|bacA|bacitracin|bacA	0.931180062	55.6	252	251	8.87e-84	1	NA
Tub.83-k141_59493_1-5..78	Tub.83	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	5	78	k141_59493_1	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.865794034	50.7	75	77.8	2.64e-19	1	NA
Tub.83-k141_59493_1-5..78	Tub.83	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	5	78	k141_59493_1	peptide	undefined	0.068953765	50.7	75	77.8	2.64e-19	1	NA
Tub.82-k141_98742_2-1..310	Tub.82	Probable	TETA(48)	1	310	k141_98742_2	tetracycline	APB03214.1|FEATURES|tetA(48)|tetracycline|tetA(48)	0.996560212	53.4	311	292	1.61e-98	1	NA
Tub.15-k141_62463_2-4..228	Tub.15	Potential	MTRA	4	228	k141_62463_2	aminoglycoside	undefined	0.591164137	83.1	225	375	3.82e-134	1	NA
Tub.15-k141_62463_2-4..228	Tub.15	Potential_loser	MTRA	4	228	k141_62463_2	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261294015	83.1	225	375	3.82e-134	1	NA
Tub.11-k141_281714_15-1..143	Tub.11	Potential	DFRA3	1	143	k141_281714_15	peptide	undefined	0.29931908	50.3	143	144	5.19e-45	1	NA
Tub.11-k141_281714_15-1..143	Tub.11	Potential_loser	DFRA3	1	143	k141_281714_15	aminoglycoside	undefined	0.19080868	50.3	143	144	5.19e-45	1	NA
Tub.85-k141_701249_27-3..120	Tub.85	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	120	k141_701249_27	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.322186466	51.3	119	123	2.34e-36	1	NA
Tub.85-k141_701249_27-3..120	Tub.85	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	120	k141_701249_27	aminoglycoside	undefined	0.296130865	51.3	119	123	2.34e-36	1	NA
Tub.34-k141_673755_2-3..228	Tub.34	Potential	MTRA	3	228	k141_673755_2	aminoglycoside	undefined	0.582380076	73.9	226	337	1.95e-118	1	NA
Tub.34-k141_673755_2-3..228	Tub.34	Potential_loser	MTRA	3	228	k141_673755_2	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.262846343	73.9	226	337	1.95e-118	1	NA
Tub.58-k141_252950_1-5..224	Tub.58	Probable	KDPE	5	224	k141_252950_1	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.987701582	63.8	224	295	1.57e-102	1	NA
Tub.31-k141_610409_3-15..271	Tub.31	Probable	APH(3')-I	15	271	k141_610409_3	aminoglycoside	YP_112402|FEATURES|aph(3')-I|aminoglycoside|aph(3')-I	0.999999871	57.6	257	298	8.93e-103	1	NA
Tub.58-k141_104374_5-29..151	Tub.58	Potential	LEN	29	151	k141_104374_5	multidrug	undefined	0.236743529	56.9	123	130	4.98e-38	1	NA
Tub.58-k141_104374_5-29..151	Tub.58	Potential_loser	LEN	29	151	k141_104374_5	peptide	undefined	0.222037731	56.9	123	130	4.98e-38	1	NA
Tub.31-k141_182071_2-5..80	Tub.31	Probable	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	5	80	k141_182071_2	unclassified	NC_002745.3251084.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.823885345	51.3	76	74.7	9.35e-20	1	NA
Tub.31-k141_182071_2-5..80	Tub.31	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	5	80	k141_182071_2	peptide	undefined	0.088624125	51.3	76	74.7	9.35e-20	1	NA
Tub.30-k141_197184_3-1..1004	Tub.30	Potential	MEXW	1	1004	k141_197184_3	MLS	undefined	0.667657228	53.3	1008	956	0	1	NA
Tub.30-k141_197184_3-1..1004	Tub.30	Potential_loser	MEXW	1	1004	k141_197184_3	multidrug	YP_001350280|FEATURES|mexW|multidrug|mexW	0.251215399	53.3	1008	956	0	1	NA
Tub.105-k141_157972_55-4..228	Tub.105	Potential	MTRA	4	228	k141_157972_55	aminoglycoside	undefined	0.589625877	78.2	225	351	7.38e-125	1	NA
Tub.105-k141_157972_55-4..228	Tub.105	Potential_loser	MTRA	4	228	k141_157972_55	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261557923	78.2	225	351	7.38e-125	1	NA
Tub.18-k141_531343_2-17..335	Tub.18	Probable	TETA(48)	17	335	k141_531343_2	tetracycline	APB03214.1|FEATURES|tetA(48)|tetracycline|tetA(48)	0.99735798	50.3	324	311	1.35e-105	1	NA
Tub.31-k141_715347_1-3..226	Tub.31	Potential	MTRA	3	226	k141_715347_1	aminoglycoside	undefined	0.591164137	66.5	224	303	3.80e-105	1	NA
Tub.31-k141_715347_1-3..226	Tub.31	Potential_loser	MTRA	3	226	k141_715347_1	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.261294015	66.5	224	303	3.80e-105	1	NA
Tub.31-k141_522813_2-48..365	Tub.31	Potential	MEXJ	48	365	k141_522813_2	triclosan	undefined	0.537988922	51.3	318	305	5.38e-103	1	NA
Tub.31-k141_522813_2-48..365	Tub.31	Potential_loser	MEXJ	48	365	k141_522813_2	multidrug	NP_252367.1|FEATURES|MexJ|multidrug|MexJ	0.155124356	51.3	318	305	5.38e-103	1	NA
Tub.26-k141_438767_4-1..337	Tub.26	Potential	MEXS	1	337	k141_438767_4	multidrug	ADT64081.1|FEATURES|MexS|multidrug|MexS	0.307165992	58.8	337	410	1.65e-144	1	NA
Tub.26-k141_438767_4-1..337	Tub.26	Potential_loser	MEXS	1	337	k141_438767_4	peptide	undefined	0.205244414	58.8	337	410	1.65e-144	1	NA
Tub.18-k141_588492_2-22..150	Tub.18	Probable	AAC(3)-I	22	150	k141_588492_2	aminoglycoside	AJ511268.1.gene3.p01|FEATURES|aac(3)-I|aminoglycoside|aac(3)-I	0.99997291	65.9	129	175	2.46e-57	1	NA
Tub.83-k141_853065_2-3..120	Tub.83	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	120	k141_853065_2	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.327919142	50	118	123	2.08e-36	1	NA
Tub.83-k141_853065_2-3..120	Tub.83	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	3	120	k141_853065_2	aminoglycoside	undefined	0.29434843	50	118	123	2.08e-36	1	NA
Tub.104-k141_358482_1-13..120	Tub.104	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	13	120	k141_358482_1	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.336165448	51.4	109	112	1.91e-33	1	NA
Tub.104-k141_358482_1-13..120	Tub.104	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	13	120	k141_358482_1	aminoglycoside	undefined	0.291798783	51.4	109	112	1.91e-33	1	NA
Tub.31-k141_26560_4-15..520	Tub.31	Potential	EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER	15	520	k141_26560_4	peptide	undefined	0.35135859	57.7	506	609	3.32e-217	1	NA
Tub.31-k141_26560_4-15..520	Tub.31	Potential_loser	EMRB-QACA_FAMILY_MAJOR_FACILITATOR_TRANSPORTER	15	520	k141_26560_4	fluoroquinolone	undefined	0.149564446	57.7	506	609	3.32e-217	1	NA
Tub.105-k141_227483_3-14..506	Tub.105	Probable	QEPA	14	506	k141_227483_3	fluoroquinolone	gi:1039004533:ref:WP_064760451.1:|FEATURES|qepA|fluoroquinolone|qepA	0.991697324	50.4	496	410	2.92e-139	1	NA
Tub.104-k141_87593_1-3..316	Tub.104	Potential	OLEC	3	316	k141_87593_1	tetracycline	undefined	0.888959765	50.2	315	297	5.99e-100	1	NA
Tub.104-k141_87593_1-3..316	Tub.104	Potential_loser	OLEC	3	316	k141_87593_1	MLS	AAA26793|FEATURES|oleC|MLS|oleC	0.071081567	50.2	315	297	5.99e-100	1	NA
Tub.82-k141_8306_6-4..224	Tub.82	Potential	MTRA	4	224	k141_8306_6	aminoglycoside	undefined	0.450464814	51.1	223	208	1.83e-68	1	NA
Tub.82-k141_8306_6-4..224	Tub.82	Potential_loser	MTRA	4	224	k141_8306_6	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.275748383	51.1	223	208	1.83e-68	1	NA
Tub.18-k141_602570_1-10..201	Tub.18	Probable	MEXL	10	201	k141_602570_1	multidrug	NP_252368.1|FEATURES|MexL|multidrug|MexL	0.991720317	50.3	193	172	7.84e-55	1	NA
Tub.83-k141_370362_2-12..274	Tub.83	Probable	BACA	12	274	k141_370362_2	bacitracin	YP_985461|FEATURES|bacA|bacitracin|bacA	0.995254281	76	263	398	4.29e-142	1	NA
Tub.82-k141_153814_2-4..228	Tub.82	Potential	MTRA	4	228	k141_153814_2	aminoglycoside	undefined	0.584810716	74.7	225	340	2.16e-120	1	NA
Tub.82-k141_153814_2-4..228	Tub.82	Potential_loser	MTRA	4	228	k141_153814_2	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.262419217	74.7	225	340	2.16e-120	1	NA
Tub.59-k141_20548_1-1..97	Tub.59	Potential	QACH	1	97	k141_20548_1	peptide	undefined	0.51200876	60.8	97	116	9.65e-36	1	disinfecting agents and antiseptics
Tub.59-k141_20548_1-1..97	Tub.59	Potential_loser	QACH	1	97	k141_20548_1	fosfomycin	undefined	0.225750327	60.8	97	116	9.65e-36	1	disinfecting agents and antiseptics
Tub.59-k141_728535_1-1..118	Tub.59	Potential	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	k141_728535_1	aminoglycoside	undefined	0.305344696	50.4	119	119	7.57e-36	1	NA
Tub.59-k141_728535_1-1..118	Tub.59	Potential_loser	TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	1	118	k141_728535_1	unclassified	NC_002745.1124086.p01|FEATURES|truncated_putative_response_regulator_ArlR|unclassified|truncated_putative_response_regulator_ArlR	0.287251264	50.4	119	119	7.57e-36	1	NA
Tub.26-k141_497117_1-5..150	Tub.26	Probable	ARR-4	5	150	k141_497117_1	rifamycin	ABV26705.1|FEATURES|arr-4|rifamycin|arr-4	0.999768788	59.6	146	192	6.01e-64	1	NA
Tub.12-k141_217848_2-1..223	Tub.12	Probable	KDPE	1	223	k141_217848_2	aminoglycoside	NP_415222.1|FEATURES|kdpE|aminoglycoside|kdpE	0.986174262	50	230	208	1.99e-68	1	NA
Tub.82-k141_76424_1-28..261	Tub.82	Probable	KASUGAMYCIN_RESISTANCE_PROTEIN_KSGA	28	261	k141_76424_1	aminoglycoside	Q8FL96|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	0.999999792	53.8	234	229	4.77e-76	1	NA
Tub.105-k141_534877_1-16..228	Tub.105	Potential	MTRA	16	228	k141_534877_1	aminoglycoside	undefined	0.554561052	72.3	213	308	5.38e-108	1	NA
Tub.105-k141_534877_1-16..228	Tub.105	Potential_loser	MTRA	16	228	k141_534877_1	multidrug	CCP46065.1|FEATURES|mtrA|multidrug|mtrA	0.26677531	72.3	213	308	5.38e-108	1	NA
Tub.58-k141_397192_11-1..104	Tub.58	Potential	ABES	1	104	k141_397192_11	aminoglycoside	NC_010410.6003348.p01|FEATURES|abeS|multidrug|abeS	0.574873923	55.8	104	109	1.72e-32	1	disinfecting agents and antiseptics
Tub.58-k141_397192_11-1..104	Tub.58	Potential_loser	ABES	1	104	k141_397192_11	peptide	undefined	0.194122465	55.8	104	109	1.72e-32	1	disinfecting agents and antiseptics
Tub.59-k141_635795_45-4..377	Tub.59	Probable	ROSA	4	377	k141_635795_45	fosmidomycin	YP_001401993|FEATURES|rosA|fosmidomycin|rosA	0.999159449	65.9	381	484	9.80e-172	1	NA
Tub.82-k141_30820_4-31..386	Tub.82	Probable	ACRA	31	386	k141_30820_4	multidrug	YP_001879173|FEATURES|acrA|multidrug|acrA	0.999997798	54.3	361	353	4.01e-120	1	NA
Tub.85-k141_421262_3-7..211	Tub.85	Probable	MEXL	7	211	k141_421262_3	multidrug	NP_252368.1|FEATURES|MexL|multidrug|MexL	0.99437874	50.2	205	191	5.76e-62	1	NA
Tub.31-k141_63467_2-1..164	Tub.31	Probable	AAC(6')-I	1	164	k141_63467_2	aminoglycoside	AAK51920|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	0.999999189	52.1	165	172	1.26e-55	1	NA
Tub.94-k141_338589_1-2..277	Tub.94	Probable	BACA	2	277	k141_338589_1	bacitracin	YP_550152|FEATURES|bacA|bacitracin|bacA	0.993468212	83.3	276	453	2.52e-163	1	NA
Tub.105-k141_409671_1-12..181	Tub.105	Probable	AAC(2')-I	12	181	k141_409671_1	aminoglycoside	YP_001848841|FEATURES|aac(2')-I|aminoglycoside|aac(2')-I	0.9999952	58.8	170	209	4.11e-70	1	NA
Tub.31-k141_584134_202-7..1029	Tub.31	Potential	MUXB	7	1029	k141_584134_202	multidrug	NP_251217.1|FEATURES|MuxB|multidrug|MuxB	0.66741031	52	1067	976	0	1	NA
Tub.31-k141_584134_202-7..1029	Tub.31	Potential_loser	MUXB	7	1029	k141_584134_202	aminocoumarin	undefined	0.326544848	52	1067	976	0	1	NA
